District_code|School_code|School_name
AN|AN0062|GULABI GIRLS HIGH SCHOOL JAYAMAHAL EXTENTION BANGALORE NORTH 
AN|AN0063|SEVENTH DAY ADVENTIST HIGH SCHOOL NO.20 SPENCER ROAD BANGALORE NORTH 
AN|AN0065|'UNIVERSAL EDN. SOCIETY''S HIGH SCHOOL CA 6 2ND STAGE W.C.R. RAJAJI NAGAR BANGALORE NORTH '
AN|AN0068|SHARADA VIDYAMANDIRA HIGH SCHOOL NO.827 14TH MAIN IIIBLOCK RAJAJINAGAR BANGALORE NORTH 
AN|AN0069|BASAVESWARA GIRLS HIGH SCHOOL MAHALAKSHMIPURAM BANGALORE NORTH 
AN|AN0070|BAPUJI RESIDENTIAL HIGH SCHOOL MAGADI ROAD BANGALORE NORTH 
AN|AN0071|RAO BAHADUR BP.ANNASWAMY MUDALIAR H.S. MOORE ROAD  FRASER TOWN BANGALORE NORTH 
AN|AN0072|'NIRMALA GIRLS HIGH SCHOOL RICHARD''S TOWN ST.THOMAS TOWN BANGALORE NORTH '
AN|AN0073|CORPORATION  HIGH SCHOOL MARAPPANAPALYA YASHAVANTH PURA BANGALORE NORTH
AN|AN0074|R.GOPALASWAMY IYER RESIDENTIAL H.S. 9TH MAIN ROAD  SREERAMPURAM BANGALORE NORTH 
AN|AN0075|THE RAJAJINAGAR PARENTS ASSN.HIGH SCHOOL V BLOCK  RAJAJINAGAR BANGALORE NORTH 
AN|AN0076|'ABDUL BARI''S HIGH SCHOOL 68/1 HAINES ROAD BANGALORE NORTH '
AN|AN0077|CORPORATION BOYS HIGH SCHOOL SREERAMAPURAM  PIT COLONY BANGALORE NORTH 
AN|AN0079|STRACEY MEMORIAL HIGH SCHOOL ST. MARKS ROAD BANGALORE NORTH 
AN|AN0080|PANCHAJANYA VIDYAPEETHA RES.GHS I-N BLOCK  RAJAJINAGAR BANGALORE NORTH 
AN|AN0081|'MARIA NIKETAN HIGH SCHOOL ST. MARY''S TOWN BANGALORE NORTH '
AN|AN0083|KUMARA PARK HIGH SCHOOL 4TH CROSS NAGAPPA STREET BANGALORE NORTH 
AN|AN0084|NAJNUSSAHAR GIRLS HIGH SCHOOL NO.11/2 BORE BANK ROAD  BENSON TOWN BANGALORE NORTH 
AN|AN0086|M E C HIGH SCHOOL NEW TOWN,YALAHANKA BANGALORE 
AN|AN0090|VVS SARDAR PATEL ENG HIGH SCHOOL RAJAJINAGAR BANGALORE NORTH 
AN|AN0091|POORNA PRAJNA EDUCATION CENTRE H.S. SADASHIVANAGAR BANGALORE NORTH 
AN|AN0092|VOKKALINGARA SANGHA HIGH SCHOOL SRIGANDHADA KAVAL , MAGADI MAIAN ROAD, VISWANEEDAM , P O BANGALORE. 
AN|AN0093|MAMATHA GIRLS HIGH SCHOOL GANGENAHALLI BANGALORE NORTH 
AN|AN0094|GOVERNMENT JUNIOR COLLEGE YELAHANKA BANGALORE NORTH 
AN|AN0095|CORPORATION GIRLS HIGH SCHOOL DAYANANDANAGAR BANGALORE SOUTH 
AN|AN0096|GOVT. JUNIOR COLLEGE HESARAGHATTA BANGALORE NORTH 
AN|AN0098|GOVERNMENT HIGH SCHOOL YESHWANTHAPUR BANGALORE NORTH 
AN|AN0099|H.M.T. SECONDARY SCHOOL H.M.T. COLONY BANGALORE NORTH 
AN|AN0100|B.E.L. HIGH SCHOOL JALAHALLI BANGALORE NORTH 
AN|AN0101|M.S.RAMAIAH HIGH SCHOOL GOKULA POST BANGALORE NORTH 
AN|AN0102|MITHRA HIGH SCHOOL SUBRAMANYANAGAR BANGALORE NORTH 
AN|AN0104|GOVERNMENT HIGH SCHOOL DASARAHALLI BANGALORE NORTH 
AN|AN0106|GOVERNMENT HIGH SCHOOL KAKOLU POST BANGALORE NORTH 
AN|AN0107|KAMALA GIRLS HIGH SCHOOL R M V 2ND STAGE, NAGASHETTYHALLI, BANGALORE NORTH
AN|AN0108|CARMEL HIGH SCHOOL II BLOCK III STAGE WOC RD BASVESWARNAGAR BANGALORE NORTH 
AN|AN0109|SIDDARTHA HIGH SCHOOL LINGARAJAPURAM BANGALORE NORTH 
AN|AN0110|GOVERNMENT HIGH SCHOOL JALAHALLI BANGALORE NORTH 
AN|AN0111|GOVERNMENT HIGH SCHOOL POLICE COLONY  MAGADI ROAD BANGALORE NORTH 
AN|AN0112|GOVT. GIRLS HIGH SCHOOL LINK ROAD  SESHADRIPURAM BANGALORE NORTH 
AN|AN0113|GOVERNMENT HIGH SCHOOL POTTERY TOWN  CIVIL STATION BANGALORE NORTH 
AN|AN0114|JYOTHI HIGH SCHOOL P.O.ST THOMAS TOWN  KACHARAKANAHALLI BANGALORE NORTH 
AN|AN0116|BAPU COMP  P U COLLEGE YESHWANTHAPURA BANGALORE NORTH 
AN|AN0117|GOVT.JUNIOR COLLEGE JAYACHAMARAJENDRA NAGAR  R T NAGAR BANGALORE NORTH 
AN|AN0118|SRI M.MALLIKARJUNASWAMY HIGH SCHOOL DR.AMBEDKAR ROAD  A.K.COLONY BANGALORE NORTH 
AN|AN0119|SRI AUROBINDA VIDYAMANDIR HIGH SCHOOL 5TH A MAIN II STAGE W.C.R. RAJAJINAGAR BANGALORE NORTH 
AN|AN0120|SRI ANANDA SOCIAL & EDNL. SOCIETY H.S. BUNDAPPA COLONY  YESHWANTHAPUR BANGALORE NORTH 
AN|AN0121|DR.AMBEDKAR HIGH SCHOOL DEVARAJEEVANAHALLI BANGALORE NORTH 
AN|AN0122|CORPORATION JUNIOR COLLEGE GOKUL I STAGE I PHASE YESHWANTHAPUR BANGALORE NORTH 
AN|AN0123|THAKKAR BAPA HIGH SCHOOL BAPAGRAM BANGALORE NORTH 
AN|AN0124|AMBEDKAR MEMORIAL HIGH SCHOOL CA.NO.2 II STAGE W.C.R. RAJAJINAGAR BANGALORE NORTH 
