sl no|  block   |     cluster     |          school_name           | klp_id | cls1_cnt | cls2_cnt | cls3_cnt | cls4_cnt | cls5_cnt | cls6_cnt | cls7_cnt 
67| hosakote | vagata          | G ULPS VAGATA                  |36093|0|3|7|2|5|2|0
68| hosakote | vagata          | G LPS KACHARAKANAHALLI         |36098|0|2|5|6|5|6|0
69| hosakote | vagata          | G LPS HUNASEHALLI              |36100|0|5|0|3|6|4|0
70| hosakote | vagata          | G LPS DODDADASARAHALLI         |36102|0|4|1|1|11|1|0
71| hosakote | vagata          | G LPS PARAMANAHALLI            |36103|0|3|2|3|10|2|0
72| hosakote | kalkunte        | G LPS BYALAHALLI               |36108|0|1|3|0|2|0|0
73| hosakote | kalkunte        | G LPS AREHALLI                 |36111|0|10|6|6|8|4|0
74| hosakote | kalkunte        | G LPS MUTHUKADAHALLI           |36112|0|5|2|3|9|10|0
75| hosakote | kalkunte        | G LPS THATTANUR                |36113|0|5|8|2|10|2|0
76| hosakote | kalkunte        | G LPS SIDDANAPURA              |36117|0|0|9|6|11|9|0
77| hosakote | kalkunte        | G LPS MARANAGERE               |36118|0|8|9|15|13|8|0
78| hosakote | kalkunte        | G ULPS GANAGALURU              |36120|0|0|0|0|0|6|0
79| hosakote | alappanahalli   | G LPS THIMMASANDRA             |36123|0|6|3|4|5|9|0
80| hosakote | vagata          | G LPS KAMARASANAHALLY          |36106|0|6|6|4|4|2|0
81| hosakote | doddagattinabbe | G LPS DEVASHETTYHALLI          |36094|0|5|7|5|4|7|0
82| hosakote | jadigenahalli   | G LPS BOMMANA BANDE            |36107|0|9|7|8|7|5|0
83| hosakote | alappanahalli   | G LPS VENKATAPURA              |36126|0|8|1|3|3|2|0
84| hosakote | alappanahalli   | G LPS VABHASANDRA              |36127|0|5|4|5|6|6|0
85| hosakote | alappanahalli   | G LPS UPPARAHALLI              |36130|0|10|10|8|9|10|0
86| hosakote | alappanahalli   | G LPS CHOWLU THOTA             |36132|0|18|13|14|14|10|0
87| hosakote | alappanahalli   | G LPS KALLAHALLI               |36133|0|5|3|8|2|6|0
88| hosakote | jadigenahalli   | G ULPS CHATRIPALYA             |36091|0|11|13|13|9|7|0
89| hosakote | alappanahalli   | G LPS MUGALIPURA               |36134|0|5|2|3|3|3|0
90| hosakote | sulibele        | G LPS KADARINAPURA             |36138|1|4|1|3|2|2|0
91| hosakote | sulibele        | G ULPS JANATHA COLONY          |36141|0|7|9|8|5|8|0
92| hosakote | vagata          | G MPS THARABAHALLI             |36088|0|13|8|13|16|10|0
93| hosakote | beguru          | G HPS E. MUTHASANDRA           |35888|0|24|13|16|16|7|0
94| hosakote | beguru          | G HPS KAMBALIPURA              |35886|0|20|16|18|15|11|0
95| hosakote | sulibele        | G HPS YANAGUNTE                |35883|4|9|10|10|8|18|0
