 district |   block   |       cluster       | school_code |             school_name             | building_status | no_of_classroom | common_toilet | girls_toilet | electricity | playground | ramps | library | no_of_books | compound | drinking_water | no_of_blackboard | medical_checkup | computer_lab | no_of_computers | no_of_teachers | no_of_students | no_of_headteacher 
 GADAG    | MUNDARAGI | MUNDARAGI CITY WEST |29080205542| ADARSHA VIDYALA (RMSA) MUNDARAGI    |4|3|1|1|1|2|2|1|100|1|3|2|1|2|0|1|209|1
 GADAG    | MUNDARAGI | MUNDARAGI EAST      |29080205504| GHPS KOTEMUNDARAGI                  |3|11|1|2|1|1|1|1|900|1|3|15|1|1|5|13|460|1
 GADAG    | MUNDARAGI | MUNDARAGI EAST      |29080205505| GHPS A.D.NAGAR MUNDARAGI (SMB)      |3|7|1|1|1|1|1|1|281|1|3|10|1|2|0|8|211|1
 GADAG    | MUNDARAGI | MUNDARAGI EAST      |29080205506| GHPS SSP NAGAR  MUNDARAGI           |3|4|1|1|1|2|1|1|374|1|3|4|1|2|0|4|109|0
 GADAG    | MUNDARAGI | MUNDARAGI EAST      |29080205513| SWAMI VIVEKANAND HPS MUNDARAGI      |1|7|3|2|1|1|2|1|200|3|3|8|1|2|0|6|328|0
 GADAG    | MUNDARAGI | MUNDARAGI EAST      |29080205516| V.G.L.KAN HPS MUNDARAGI (ROTARY SCH |1|7|1|3|1|1|2|1|650|3|3|8|1|1|20|7|313|1
 GADAG    | MUNDARAGI | MUNDARAGI EAST      |29080205518| S.F.S.SCHOOL MUNDARAGI              |1|7|3|1|1|1|1|1|563|3|3|8|1|1|12|6|313|0
 GADAG    | MUNDARAGI | MUNDARAGI EAST      |29080205526| BSM GLPS HESARUR ROAD MUNDARAGI     |3|3|1|2|1|1|1|1|142|8|3|3|1|2|0|2|61|0
 GADAG    | MUNDARAGI | MUNDARAGI EAST      |29080205528| J.T.R. CBSE SCHOOL MUNDARGI         |1|8|2|1|1|1|1|1|5050|1|2|25|1|1|10|32|773|0
 GADAG    | MUNDARAGI | MUNDARAGI EAST      |29080205539| GLPS KOTE NO 2                      |3|3|1|3|1|2|1|2|148|8|3|2|1|2|0|3|105|0
 GADAG    | MUNDARAGI | MUNDARAGI EAST      |29080205544| J.T.S.KOTE KAN LPS MUNDARAGI        |1|2|1|1|1|1|2|1|2052|3|3|1|1|2|0|2|27|0
 GADAG    | MUNDARAGI | MUNDARAGI RURAL     |29080203201| GHPS MUKTUMPUR                      |3|9|1|1|1|1|1|1|1500|2|3|1|1|2|0|5|128|0
 GADAG    | MUNDARAGI | MUNDARAGI RURAL     |29080203901| GHPS BENNIHALLI                     |3|8|1|3|1|1|1|1|751|1|3|23|1|2|0|8|192|1
 GADAG    | MUNDARAGI | MUNDARAGI RURAL     |29080204001| GHPS NAGARAHALLI                    |3|9|1|1|1|1|1|1|1320|8|3|9|1|2|2|7|165|1
 GADAG    | MUNDARAGI | MUNDARAGI RURAL     |29080204101| GHPS ASHAKIRAN( KAKKUR TANDE)       |3|7|1|2|1|1|1|1|650|1|3|15|1|2|0|7|241|1
 GADAG    | MUNDARAGI | MUNDARAGI RURAL     |29080204201| GHPS HESARUR                        |3|10|1|2|1|1|1|1|1827|8|2|2|1|2|0|8|216|1
 GADAG    | MUNDARAGI | MUNDARAGI RURAL     |29080204204| TUNGABDRA LPS HESARUR               |2|4|0|1|1|1|2|1|500|1|2|0|2|2|0|3|64|0
 GADAG    | MUNDARAGI | MUNDARAGI RURAL     |29080204301| GHPS KAKKUR                         |3|6|1|1|1|1|1|1|1016|1|3|6|1|2|0|5|149|1
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080200903| GLPUS PETAALUR                      |3|3|1|1|1|1|1|1|150|6|4|3|1|2|0|3|35|0
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080201403| GLPUS DONI                          |3|2|1|1|1|1|1|1|246|7|3|3|1|2|0|3|16|0
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080201502| GHPUS DAMBAL                        |3|6|1|1|1|2|1|1|1400|1|3|1|1|2|0|7|119|1
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080201602| GLPUS EKLASPUR                      |3|4|1|2|1|2|1|1|140|7|3|3|1|2|0|2|20|0
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080202102| GLPUS HIREWADDATTI                  |3|2|1|1|1|1|1|1|600|7|3|5|1|2|0|2|19|0
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080202702| GLPUS HAROGERI                      |3|2|1|1|1|2|1|1|120|5|3|5|1|2|0|1|22|0
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080203103| GHPUS KALAKERI                      |3|5|1|1|1|1|1|1|770|1|3|9|1|2|1|4|49|0
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080204403| GHPUS KORLHALLI                     |3|5|1|1|1|2|1|1|218|1|3|6|1|2|0|4|54|0
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080205202| GLPUS HAMMIGI                       |3|3|1|1|1|2|1|1|105|5|3|7|1|2|1|3|27|0
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080205502| GHPUGS MUNDARAGI                    |3|4|1|1|1|2|1|1|700|5|3|10|1|2|2|5|77|1
 GADAG    | MUNDARAGI | MUNDARAGI URDU      |29080205503| GHPUBS MUNDARAGI                    |3|5|1|1|1|1|1|1|1000|7|4|6|1|2|0|4|144|0
 GADAG    | MUNDARAGI | PETALUR             |29080200401| GHPKGS SHIRUR                       |3|8|1|3|1|1|1|1|300|7|3|10|1|2|0|5|196|0
 GADAG    | MUNDARAGI | PETALUR             |29080200501| GMCS JANTLI SHIRUR                  |3|10|1|1|1|1|1|1|410|7|3|9|1|2|0|8|291|1
 GADAG    | MUNDARAGI | PETALUR             |29080200503| CSCS LPS JANTLI SHIRUR              |1|7|1|1|1|1|1|1|50|5|3|7|1|2|0|4|53|0
 GADAG    | MUNDARAGI | PETALUR             |29080200601| GLPKGS HALLIGUDI                    |3|4|1|1|1|1|1|1|164|7|3|5|1|2|0|4|60|0
 GADAG    | MUNDARAGI | PETALUR             |29080200602| GHPS HALLIGUDI                      |3|6|1|1|1|1|1|1|1013|7|3|8|1|1|3|7|132|2
 GADAG    | MUNDARAGI | PETALUR             |29080200701| GHPS HALLIKERI                      |3|11|1|1|1|2|1|1|700|1|3|7|1|2|0|8|171|1
 GADAG    | MUNDARAGI | PETALUR             |29080200702| GHPGS HALLIKERI                     |3|6|1|1|1|2|1|1|740|1|3|5|1|2|0|7|213|0
 GADAG    | MUNDARAGI | PETALUR             |29080200703| SHANTINIKETAN KANNAD KANVENT SCHOOL |3|4|1|1|1|2|1|1|1|1|3|3|1|2|2|3|100|0
 GADAG    | MUNDARAGI | PETALUR             |29080200802| GHPS VENKATAPUR                     |3|11|1|1|1|1|1|1|740|7|3|7|1|2|0|8|197|1
 GADAG    | MUNDARAGI | PETALUR             |29080200901| GMCS PETA ALUR                      |3|7|1|1|1|1|1|1|14000|1|1|7|1|1|5|6|127|0
 GADAG    | MUNDARAGI | PETALUR             |29080200902| GHPGS PETALUR                       |3|7|1|3|1|1|1|1|502|1|3|7|1|2|0|6|113|0
 GADAG    | MUNDARAGI | PETALUR             |29080200904| GLPS PETALUR(DPEP)                  |3|3|1|1|1|1|1|1|60|7|3|3|1|2|0|3|47|0
 GADAG    | MUNDARAGI | PETALUR             |29080200905| PRIVATE HPS PETAALUR                |1|8|1|2|1|1|1|1|610|5|3|7|1|2|0|7|274|2
 GADAG    | MUNDARAGI | SHINGTALUR          |29080204501| GHPS GANGAPUR                       |3|6|1|1|1|1|1|1|500|1|3|6|1|2|0|4|110|0
 GADAG    | MUNDARAGI | SHINGTALUR          |29080205101| GHPS GUMMAGOL                       |3|5|1|1|1|1|1|1|1000|7|3|3|2|2|7|3|58|1
 GADAG    | MUNDARAGI | SHINGTALUR          |29080205201| GHPS HAMMIGI                        |3|10|1|1|1|2|1|1|1500|7|3|14|1|1|7|6|211|0
 GADAG    | MUNDARAGI | SHINGTALUR          |29080205203| GHPGS HAMMIGI                       |3|6|1|2|1|2|1|1|1362|5|3|12|1|2|1|6|182|0
 GADAG    | MUNDARAGI | SHINGTALUR          |29080205208| GLPS TBN HAMMAGI                    |3|3|1|1|1|1|1|1|160|1|3|6|1|1|1|2|64|0
 GADAG    | MUNDARAGI | SHINGTALUR          |29080205209| BASAVESHWAR  KANVENT SCHOOL HONNA H |1|5|1|1|1|1|1|2|50|5|3|5|1|2|0|5|93|0
 GADAG    | MUNDARAGI | SHINGTALUR          |29080205301| GHPS SHEERNAHALLI                   |3|8|1|1|1|1|1|1|1400|7|1|8|1|2|1|8|233|1
 GADAG    | MUNDARAGI | SHINGTALUR          |29080205302| BASAVESWAR LPS GANG PET SHIRNALLI   |1|7|0|1|1|1|1|1|120|3|3|0|1|2|1|2|25|0
 GADAG    | MUNDARAGI | SHINGTALUR          |29080205401| GLPKGS SHINGATALUR                  |3|3|1|2|1|1|1|1|106|7|4|4|1|2|0|4|62|0
 GADAG    | MUNDARAGI | SHINGTALUR          |29080205402| GHPS SHINGATALUR                    |3|7|1|1|1|1|1|1|250|7|3|8|1|2|0|3|104|0
 GADAG    | MUNDARAGI | SHINGTALUR          |29080205403| GHPS HOSASHINGATALUR                |3|7|1|1|1|1|1|1|1717|7|3|13|1|2|1|7|244|1
||||||||||||||||||||||
||||||||||||||||||||||
 district |   block   ||| no_of_schools | common_toilet | girls_toilet | electricity | playground | ramps | library | no_of_books | compound | drinking_water | no_of_blackboard | medical_checkup | computer_lab | no_of_computers | no_of_teachers | no_of_headteacher | no_of_classroom ||
 GADAG    | MUNDARAGI |||121|126|170|119|91|109|115|141608|44|8|3|115|22|210|680|54|779||
